room	start	duration	status
corridor	2024-11-16 20:32:13	0.0	Normal
entrance	2024-11-16 20:32:13	9.0	Emergency
corridor	2024-11-16 20:32:22	0.0	Normal
entrance	2024-11-16 20:33:16	0.0	Normal
corridor	2024-11-16 20:33:16	0.0	Normal
entrance	2024-11-16 20:33:22	0.0	Normal
corridor	2024-11-16 20:33:22	0.0	Normal
entrance	2024-11-16 20:33:32	0.0	Normal
corridor	2024-11-16 20:33:32	0.0	Normal
entrance	2024-11-16 20:34:07	0.0	Normal
corridor	2024-11-16 20:34:07	21.0	Emergency
entrance	2024-11-16 20:34:28	9.0	Emergency
corridor	2024-11-16 20:34:37	0.0	Normal
entrance	2024-11-16 20:34:41	0.0	Normal
corridor	2024-11-16 20:34:41	0.0	Normal
entrance	2024-11-16 20:34:48	0.0	Normal
corridor	2024-11-16 20:34:48	0.0	Normal
entrance	2024-11-16 20:34:56	0.0	Normal
corridor	2024-11-16 20:34:56	0.0	Normal
entrance	2024-11-16 20:35:12	0.0	Normal
corridor	2024-11-16 20:35:12	8.0	Emergency
entrance	2024-11-16 20:35:20	4.0	Emergency
corridor	2024-11-16 20:35:24	13.0	Emergency
entrance	2024-11-16 20:35:37	0.0	Normal
corridor	2024-11-16 20:35:45	0.0	Normal
entrance	2024-11-16 20:35:45	9.0	Emergency
corridor	2024-11-16 20:35:54	0.0	Normal
entrance	2024-11-16 20:36:07	0.0	Normal
corridor	2024-11-16 20:36:07	15.0	Emergency
entrance	2024-11-16 20:36:22	0.0	Normal
corridor	2024-11-16 20:36:30	0.0	Normal
entrance	2024-11-16 20:36:30	0.0	Normal
corridor	2024-11-16 20:36:36	0.0	Normal
entrance	2024-11-16 20:36:37	6.0	Emergency
corridor	2024-11-16 20:36:43	11.0	Emergency
entrance	2024-11-16 20:36:54	0.0	Normal
corridor	2024-11-16 20:37:00	0.0	Normal
entrance	2024-11-16 20:37:00	7.0	Emergency
corridor	2024-11-16 20:37:07	0.0	Normal
entrance	2024-11-16 20:37:22	0.0	Normal
corridor	2024-11-16 20:37:22	6.0	Emergency
entrance	2024-11-16 20:37:28	0.0	Normal
corridor	2024-11-16 20:37:36	0.0	Normal
entrance	2024-11-16 20:37:36	0.0	Normal
corridor	2024-11-16 20:37:43	0.0	Normal
entrance	2024-11-16 20:37:43	0.0	Normal
corridor	2024-11-16 20:38:08	0.0	Normal
entrance	2024-11-16 20:38:08	0.0	Normal
corridor	2024-11-16 20:38:38	0.0	Normal
entrance	2024-11-16 20:38:38	30.0	Emergency
corridor	2024-11-16 20:39:08	0.0	Normal
entrance	2024-11-16 20:39:14	0.0	Normal
corridor	2024-11-16 20:39:14	6.0	Emergency
entrance	2024-11-16 20:39:20	8.0	Emergency
corridor	2024-11-16 20:39:28	0.0	Normal
entrance	2024-11-16 20:39:53	0.0	Normal
corridor	2024-11-16 20:39:53	8.0	Emergency
entrance	2024-11-16 20:40:01	0.0	Normal
corridor	2024-11-16 20:40:08	0.0	Normal
entrance	2024-11-16 20:40:08	0.0	Normal
corridor	2024-11-16 20:40:17	0.0	Normal
entrance	2024-11-16 20:40:17	7.0	Emergency
corridor	2024-11-16 20:40:24	13.0	Emergency
entrance	2024-11-16 20:40:37	0.0	Normal
corridor	2024-11-16 20:40:47	0.0	Normal
entrance	2024-11-16 20:40:47	0.0	Normal
corridor	2024-11-16 20:40:51	0.0	Normal
entrance	2024-11-16 20:40:51	5.0	Emergency
corridor	2024-11-16 20:40:56	13.0	Emergency
entrance	2024-11-16 20:41:09	6.0	Emergency
corridor	2024-11-16 20:41:15	6.0	Emergency
entrance	2024-11-16 20:41:21	0.0	Normal
corridor	2024-11-16 20:41:27	0.0	Normal
entrance	2024-11-16 20:41:27	0.0	Normal
corridor	2024-11-16 20:41:31	0.0	Normal
entrance	2024-11-16 20:41:31	0.0	Normal
corridor	2024-11-16 20:41:38	0.0	Normal
entrance	2024-11-16 20:41:38	0.0	Normal
corridor	2024-11-16 20:41:44	0.0	Normal
entrance	2024-11-16 20:41:44	9.0	Emergency
corridor	2024-11-16 20:41:53	14.0	Emergency
entrance	2024-11-16 20:42:07	0.0	Normal
corridor	2024-11-16 20:42:15	0.0	Normal
entrance	2024-11-16 20:42:15	0.0	Normal
corridor	2024-11-16 20:42:21	0.0	Normal
entrance	2024-11-16 20:42:21	8.0	Emergency
corridor	2024-11-16 20:42:29	0.0	Normal
entrance	2024-11-16 20:42:35	0.0	Normal
corridor	2024-11-16 20:42:35	8.0	Emergency
entrance	2024-11-16 20:42:43	0.0	Normal
corridor	2024-11-16 20:42:52	0.0	Normal
entrance	2024-11-16 20:42:52	0.0	Normal
corridor	2024-11-16 20:43:05	0.0	Normal
entrance	2024-11-16 20:43:05	0.0	Normal
corridor	2024-11-16 20:43:10	0.0	Normal
entrance	2024-11-16 20:43:10	12.0	Emergency
corridor	2024-11-16 20:43:22	0.0	Normal
entrance	2024-11-16 20:43:26	0.0	Normal
corridor	2024-11-16 20:43:26	0.0	Normal
entrance	2024-11-16 20:43:38	0.0	Normal
corridor	2024-11-16 20:43:38	30.0	Emergency
entrance	2024-11-16 20:44:08	0.0	Normal
corridor	2024-11-16 20:44:28	0.0	Normal
entrance	2024-11-16 20:44:28	0.0	Normal
corridor	2024-11-16 20:44:38	0.0	Normal
entrance	2024-11-16 20:44:38	0.0	Normal
corridor	2024-11-16 20:44:44	0.0	Normal
entrance	2024-11-16 20:44:45	0.0	Normal
corridor	2024-11-16 20:44:52	0.0	Normal
entrance	2024-11-16 20:44:52	0.0	Normal
corridor	2024-11-16 20:45:08	0.0	Normal
entrance	2024-11-16 20:45:08	0.0	Normal
corridor	2024-11-16 20:45:15	0.0	Normal
entrance	2024-11-16 20:45:15	0.0	Normal
corridor	2024-11-16 20:45:23	0.0	Normal
entrance	2024-11-16 20:45:23	8.0	Emergency
corridor	2024-11-16 20:45:31	12.0	Emergency
entrance	2024-11-16 20:45:43	8.0	Emergency
corridor	2024-11-16 20:45:51	10.0	Emergency
entrance	2024-11-16 20:46:01	0.0	Normal
corridor	2024-11-16 20:46:09	0.0	Normal
entrance	2024-11-16 20:46:09	0.0	Normal
corridor	2024-11-16 20:46:15	0.0	Normal
entrance	2024-11-16 20:46:15	4.0	Emergency
corridor	2024-11-16 20:46:19	0.0	Normal
entrance	2024-11-16 20:46:28	0.0	Normal
corridor	2024-11-16 20:46:28	0.0	Normal
entrance	2024-11-16 20:46:38	0.0	Normal
corridor	2024-11-16 20:46:38	0.0	Normal
entrance	2024-11-16 20:46:44	0.0	Normal
corridor	2024-11-16 20:46:44	10.0	Emergency
entrance	2024-11-16 20:46:54	0.0	Normal
corridor	2024-11-16 20:46:58	0.0	Normal
entrance	2024-11-16 20:46:58	10.0	Emergency
corridor	2024-11-16 20:47:08	13.0	Emergency
entrance	2024-11-16 20:47:21	4.0	Emergency
corridor	2024-11-16 20:47:25	0.0	Normal
entrance	2024-11-16 20:47:36	0.0	Normal
corridor	2024-11-16 20:47:36	0.0	Normal
entrance	2024-11-16 20:47:41	0.0	Normal
corridor	2024-11-16 20:47:41	0.0	Normal
entrance	2024-11-16 20:47:53	0.0	Normal
corridor	2024-11-16 20:47:53	15.0	Emergency
entrance	2024-11-16 20:48:08	10.0	Emergency
corridor	2024-11-16 20:48:18	12.0	Emergency
entrance	2024-11-16 20:48:30	0.0	Normal
corridor	2024-11-16 20:48:38	0.0	Normal
